cluster_id	Amplitude	ContamPct	KSLabel	amp	ch	depth	fr	group	n_spikes	neuron_type	sh	unstable
0	2738.70000000	640.70000000	mua	162.99818420	0	20.00000000	0.00801138		32		0	
1	1156.30000000	0.00000000	mua	72.10339355	27	280.00000000	0.02904124		116		0	
2	5968.60000000	578.60000000	mua	136.48095703	2	40.00000000	0.12342529		493		0	
3	2028.90000000	567.00000000	mua	79.60148621	2	40.00000000	0.26011942		1039		0	
4	2874.70000000	558.50000000	mua	101.17630768	8	100.00000000	0.15572116		622		0	
5	2725.10000000	45.70000000	mua	124.71266937	12	140.00000000	1.39873650		5587		0	
6	1888.60000000	424.70000000	mua	108.17234802	12	140.00000000	0.04105831		164		0	
7	1338.50000000	411.30000000	mua	102.89720154	8	100.00000000	0.19853196		793		0	
8	1768.80000000	131.50000000	mua	128.98710632	15	160.00000000	0.98189449		3922		0	
9	2309.70000000	0.00000000	mua	153.71142578	15	160.00000000	0.05557893		222		0	
10	2034.80000000	17.50000000	mua	107.96006012	16	180.00000000	2.71811028		10857		0	
11	1358.80000000	66.00000000	mua	103.84165192	17	180.00000000	0.45439534		1815		0	
12	328.70000000	80.20000000	mua	21.97666359	1	20.00000000	8.61573614	mua	34414		0	
13	299.80000000	42.90000000	mua	18.63968658	2	40.00000000	16.94306268	mua	67676		0	
14	1573.40000000	0.00000000	good	124.46505737	20	220.00000000	0.24785200		990		0	
15	3232.80000000	0.00000000	good	134.87770081	20	220.00000000	0.07009956		280		0	
16	2032.10000000	178.60000000	mua	112.83540344	8	100.00000000	0.07886200		315		0	
17	1399.70000000	3.70000000	good	117.26022339	22	240.00000000	1.91722286		7658		0	
18	2036.80000000	1122.40000000	mua	124.81857300	25	260.00000000	0.53200556		2125		0	
19	550.70000000	275.10000000	mua	38.92784119	8	100.00000000	0.30092738		1202		0	
20	1929.60000000	9.40000000	good	158.31134033	23	240.00000000	2.64300362		10557		0	
21	2146.90000000	0.00000000	mua	131.31063843	25	260.00000000	0.01376956		55		0	
22	1653.90000000	0.00000000	mua	136.05226135	25	260.00000000	0.02153058		86		0	
23	1324.30000000	91.00000000	mua	91.92012024	28	300.00000000	2.46024406		9827		0	
24	5856.90000000	309.90000000	mua	128.55664062	27	280.00000000	0.17950493		717		0	
25	4630.60000000	341.20000000	mua	76.65182495	27	280.00000000	0.23908956		955		0	
26	5661.40000000	336.60000000	mua	78.27265167	28	300.00000000	0.24484773		978		0	
27	4304.60000000	73.10000000	mua	119.06874847	28	300.00000000	0.20679369		826		0	
28	2321.00000000	285.70000000	mua	93.22840881	30	320.00000000	0.06834707		273		0	
29	1740.90000000	217.70000000	mua	108.50527954	29	300.00000000	0.04055760		162		0	
30	1981.90000000	86.40000000	mua	146.38940430	29	300.00000000	2.03188570		8116		0	
31	2600.50000000	323.70000000	mua	115.99125671	30	320.00000000	0.17499853		699		0	
32	1523.90000000	183.10000000	mua	118.04116821	30	320.00000000	0.23984062		958		0	
33	2148.80000000	147.60000000	mua	172.02183533	30	320.00000000	1.09104952		4358		0	
34	807.60000000	340.50000000	mua	61.98004150	30	320.00000000	0.59259160		2367		0	
35	4094.90000000	275.10000000	mua	101.93302917	31	320.00000000	0.35850916		1432		0	
36	1119.50000000	344.90000000	mua	81.50910187	29	300.00000000	0.05607964		224		0	
37	1597.70000000	78.00000000	mua	118.14995575	33	340.00000000	0.07685916		307		0	
38	8303.10000000	248.60000000	mua	123.49370575	33	340.00000000	1.08153601		4320		0	
39	2896.70000000	37.90000000	mua	174.97943115	33	340.00000000	7.29711342	mua	29147		0	
40	1559.70000000	4.70000000	good	107.52841187	36	380.00000000	14.60674462	mua	58344		0	
41	2745.20000000	55.60000000	mua	186.57983398	34	360.00000000	6.53828573	mua	26116		0	
42	2392.00000000	163.80000000	mua	174.87661743	34	360.00000000	0.42635551		1703		0	
43	2537.60000000	199.10000000	mua	180.08967590	35	360.00000000	1.31486739		5252		0	
44	2122.30000000	69.70000000	mua	180.73072815	36	380.00000000	1.55721156		6220		0	
45	2061.20000000	18.30000000	mua	154.95478821	37	400.00000000	4.44806718	mua	17767		0	
46	1711.50000000	72.40000000	mua	124.85214233	37	400.00000000	0.83718898		3344		0	
47	1881.50000000	41.30000000	mua	137.04136658	37	400.00000000	1.13160712		4520		0	
48	1595.80000000	199.30000000	mua	104.76478577	37	400.00000000	0.94108654		3759		0	
49	2656.20000000	279.70000000	mua	146.52845764	38	400.00000000	1.89243766		7559		0	
50	1641.20000000	173.80000000	mua	135.28890991	39	420.00000000	1.78929117		7147		0	
51	359.30000000	90.30000000	mua	26.64354134	37	400.00000000	6.00452768	mua	23984		0	
52	314.60000000	37.00000000	mua	23.49358749	37	400.00000000	3.06660522		12249		0	
53	1261.60000000	49.00000000	mua	102.21405029	43	460.00000000	0.83168116		3322		0	
54	1541.20000000	27.90000000	mua	131.45306396	43	460.00000000	0.49945934		1995		0	
55	2271.60000000	132.60000000	mua	175.09986877	44	460.00000000	3.01528233		12044		0	
56	1735.50000000	106.50000000	mua	138.81079102	46	480.00000000	0.23633565		944		0	
57	2002.10000000	4.60000000	good	161.92880249	46	480.00000000	0.29717205		1187		0	
58	1366.80000000	17.30000000	mua	103.23025513	46	480.00000000	3.53852544		14134		0	
60	1355.40000000	1.00000000	good	126.31269836	47	500.00000000	7.55497965	mua	30177		0	
61	1521.80000000	132.30000000	mua	91.90394592	48	500.00000000	0.76708943		3064		0	
62	1355.70000000	3.60000000	good	93.60532379	50	520.00000000	2.78395379		11120		0	
63	1299.00000000	0.00000000	mua	106.51552582	54	560.00000000	0.01652347		66		0	
64	1279.70000000	0.70000000	good	115.13374329	54	560.00000000	4.57649958	mua	18280		0	
65	3771.60000000	133.00000000	mua	105.42369080	52	540.00000000	8.94695654	mua	35737		0	
66	1906.80000000	224.00000000	mua	147.00929260	53	560.00000000	2.15606206		8612		0	
67	3113.00000000	374.00000000	mua	123.48051453	53	560.00000000	0.20704405		827		0	
68	1947.60000000	219.50000000	mua	152.01364136	53	560.00000000	1.29609072		5177		0	
69	2972.10000000	9.70000000	good	150.37191772	51	540.00000000	0.79262569		3166		0	
70	1615.50000000	0.00000000	mua	112.47515106	54	560.00000000	0.07610809		304		0	
71	1516.00000000	0.00000000	mua	111.57955933	54	560.00000000	0.06308960		252		0	
72	1389.50000000	0.00000000	mua	106.62677002	54	560.00000000	0.01276813		51		0	
73	1403.70000000	0.00000000	good	86.49371338	53	560.00000000	1.38922299		5549		0	
74	2032.30000000	0.00000000	mua	166.36657715	56	580.00000000	0.01001422		40		0	
75	739.90000000	263.40000000	mua	56.92022324	57	600.00000000	2.01911757		8065		0	
76	779.50000000	26.80000000	mua	52.63240051	0	20.00000000	6.25037684	mua	24966		0	
77	1538.00000000	0.00000000	mua	121.20915985	66	680.00000000	0.04681649		187		0	
78	1339.20000000	193.00000000	mua	100.05274963	58	600.00000000	0.44463147		1776		0	
79	1079.80000000	0.00000000	good	103.14151001	58	600.00000000	0.65142516		2602		0	
80	1206.40000000	181.80000000	mua	91.39823151	59	620.00000000	0.04806827		192		0	
81	907.70000000	0.00000000	mua	73.28659821	66	680.00000000	0.01827596		73		0	
82	6119.90000000	176.80000000	mua	102.53604126	63	660.00000000	0.82942796		3313		0	
83	2273.30000000	290.20000000	mua	162.76420593	63	660.00000000	0.21755898		869		0	
84	1284.40000000	47.80000000	mua	92.80519867	62	640.00000000	1.09630698		4379		0	
85	945.10000000	203.40000000	mua	76.65119934	64	660.00000000	0.67545929		2698		0	
86	757.80000000	25.00000000	mua	52.06623840	0	20.00000000	6.96864693	mua	27835		0	
87	2180.10000000	328.20000000	mua	130.98229980	66	680.00000000	0.44388040		1773		0	
88	2014.10000000	78.00000000	mua	110.97579956	65	680.00000000	0.14420480		576		0	
89	1520.80000000	198.40000000	mua	109.96096802	68	700.00000000	1.64258281		6561		0	
90	2110.60000000	70.20000000	mua	163.94329834	68	700.00000000	0.02653769		106		0	
91	2038.40000000	0.00000000	mua	164.39817810	68	700.00000000	0.02228164		89		0	
92	1833.90000000	0.00000000	mua	151.35220337	68	700.00000000	0.03429871		137		0	
94	1234.70000000	0.00000000	mua	97.42326355	73	760.00000000	0.02879089		115		0	
95	2095.00000000	67.80000000	mua	153.82556152	73	760.00000000	0.05407680		216		0	
96	1603.70000000	195.70000000	mua	119.49758911	72	740.00000000	1.12584894		4497		0	
97	2113.50000000	24.40000000	mua	161.90478516	72	740.00000000	2.25920855		9024		0	
98	1900.80000000	189.80000000	mua	133.60298157	74	780.00000000	0.25886765		1034		0	
99	961.20000000	134.50000000	mua	78.31553650	77	800.00000000	0.03054338		122		0	
100	1254.50000000	41.50000000	mua	97.14385986	78	820.00000000	0.12843240		513		0	
101	1865.70000000	127.40000000	mua	115.45745087	73	760.00000000	0.93432694		3732		0	
102	1284.40000000	201.30000000	mua	89.92179871	73	760.00000000	1.79104366		7154		0	
103	816.00000000	0.00000000	mua	66.58633423	73	760.00000000	0.01477098		59		0	
104	2632.10000000	212.40000000	mua	137.43951416	77	800.00000000	2.99550424		11965		0	
105	1689.60000000	195.50000000	mua	104.77744293	78	820.00000000	0.80364134		3210		0	
106	1618.50000000	2.60000000	good	100.57251740	78	820.00000000	4.44881825	mua	17770		0	
107	1773.50000000	1057.10000000	mua	126.62971497	77	800.00000000	0.05532858		221		0	
108	405.30000000	323.80000000	mua	26.15553856	79	820.00000000	0.28415356		1135		0	
109	3148.10000000	1.90000000	good	78.67453766	80	840.00000000	3.01478162		12042		0	
110	1342.00000000	434.20000000	mua	79.80081940	83	860.00000000	0.22306680		891		0	
111	2272.50000000	0.40000000	good	176.44184875	82	860.00000000	1.01969818		4073		0	
112	1971.80000000	4.30000000	good	168.81915283	83	860.00000000	0.15697293		627		0	
113	1803.90000000	0.50000000	good	132.02113342	86	900.00000000	0.82992867		3315		0	
114	1862.30000000	0.00000000	mua	154.55970764	84	880.00000000	0.01126600		45		0	
115	1657.70000000	0.00000000	mua	131.70747375	84	880.00000000	0.00625889		25		0	
116	1745.90000000	0.00000000	mua	134.11009216	84	880.00000000	0.01452062		58		0	
118	1349.40000000	0.00000000	mua	114.19515991	84	880.00000000	0.01802560		72		0	
119	1174.40000000	0.90000000	good	92.66832733	85	880.00000000	1.31211347		5241		0	
120	1541.80000000	0.00000000	mua	115.69483948	85	880.00000000	0.02528591		101		0	
121	1503.00000000	100.00000000	good	127.61118317	84	880.00000000	0.01051493		42		0	
122	1598.00000000	0.00000000	mua	122.92086792	84	880.00000000	0.00926316		37		0	
123	1348.10000000	0.00000000	mua	107.50273132	84	880.00000000	0.00650924		26		0	
124	1445.60000000	0.00000000	mua	118.07062531	84	880.00000000	0.00751067		30		0	
125	1292.30000000	0.00000000	good	139.18940735	84	880.00000000	0.10289613		411		0	
126	1443.40000000	100.00000000	good	124.21951294	84	880.00000000	0.00425604		17		0	
127	1161.70000000	97.50000000	mua	98.09585571	73	760.00000000	0.06158747		246		0	
128	2807.00000000	19.50000000	mua	156.45153809	83	860.00000000	2.40341335		9600		0	
129	1511.50000000	0.00000000	good	145.48245239	85	880.00000000	0.87949907		3513		0	
130	2296.20000000	1.00000000	good	133.36549377	85	880.00000000	7.09908218	mua	28356		0	
131	9560.90000000	0.00000000	good	152.87130737	86	900.00000000	2.49954988		9984		0	
133	1974.00000000	0.00000000	mua	170.02972412	86	900.00000000	0.00200284		8		0	
134	1516.70000000	100.00000000	mua	147.21420288	86	900.00000000	0.00650924		26		0	
136	1039.10000000	0.00000000	mua	77.87258148	83	860.00000000	0.05758178		230		0	
140	1244.10000000	0.80000000	good	101.50012207	88	920.00000000	2.25795677		9019		0	
143	1155.60000000	0.00000000	good	142.09686279	89	920.00000000	1.65910628		6627		0	
145	1637.00000000	0.00000000	mua	132.17605591	89	920.00000000	0.00976387		39		0	
147	1133.60000000	2.70000000	good	68.93101501	89	920.00000000	1.04473374		4173		0	
148	707.70000000	39.40000000	mua	51.83731461	0	20.00000000	6.41135546	mua	25609		0	
151	2121.90000000	1.80000000	good	90.86483765	96	1000.00000000	65.68779035	good	262378	pNuc	0	y
152	2996.30000000	676.00000000	mua	142.13183594	99	1020.00000000	0.08512089		340		0	
153	2203.40000000	401.50000000	mua	80.76045227	104	1080.00000000	0.77860578		3110		0	
154	2204.40000000	5.00000000	good	146.71301270	105	1080.00000000	16.43709410	good	65655	pNuc	0	y
156	1638.50000000	3258.50000000	mua	117.75341797	107	1100.00000000	0.93783192		3746		0	
157	1584.00000000	10.30000000	mua	125.73133087	108	1120.00000000	5.08321923	mua	20304		0	
158	320.00000000	384.50000000	mua	25.35615540	110	1140.00000000	0.80614489		3220		0	
159	701.90000000	24950.00000000	mua	58.06477356	115	1200.00000000	0.04481364		179		0	
160	1747.10000000	10078.40000000	mua	112.06341553	111	1160.00000000	0.19853196		793		0	
161	1481.50000000	253.00000000	mua	125.20708466	113	1180.00000000	0.19077093		762		0	
162	1686.00000000	0.00000000	mua	151.68252563	116	1200.00000000	0.01702418		68		0	
163	980.30000000	100.00000000	mua	72.58303070	120	1240.00000000	0.00475676		19		0	
164	988.30000000	inf	mua	80.13907623	117	1220.00000000	0.01326884		53		0	
165	1290.10000000	91.80000000	mua	105.88124084	118	1220.00000000	1.06426147		4251		0	
166	2180.20000000	4281.10000000	mua	124.30587769	120	1240.00000000	0.25361018		1013		0	
167	1915.20000000	1903.10000000	mua	130.12500000	120	1240.00000000	1.84612188		7374		0	
168	1407.30000000	97.50000000	mua	123.56585693	120	1240.00000000	0.02803982		112		0	
169	1325.30000000	1742.90000000	mua	105.28771973	121	1260.00000000	1.34140507		5358		0	
170	2125.90000000	3986.40000000	mua	130.16311646	122	1260.00000000	0.84770392		3386		0	
172	1216.60000000	100.00000000	good	115.43822479	124	1280.00000000	0.00350498		14		0	
173	1295.60000000	100.00000000	mua	107.81792450	124	1280.00000000	0.00700996		28		0	
174	1045.10000000	1.90000000	good	96.67600250	122	1260.00000000	2.53334788		10119		0	
175	2083.40000000	1.10000000	good	64.83367157	128	1320.00000000	5.18085790	mua	20694		0	
176	1245.40000000	0.00000000	mua	102.11001587	130	1340.00000000	0.06659458		266		0	
177	3406.30000000	4.70000000	good	123.97839355	126	1300.00000000	17.69513077	mua	70680		0	
178	1272.60000000	50.00000000	mua	111.61981201	125	1300.00000000	1.94050592		7751		0	
179	1345.60000000	0.00000000	good	110.34385681	130	1340.00000000	0.41283631		1649		0	
181	1443.80000000	0.00000000	good	82.90053558	133	1380.00000000	96.20788524	good	384285	pNuc	0	
182	1871.90000000	0.00000000	good	116.72243500	135	1400.00000000	0.59359303		2371		0	
183	1697.90000000	0.00000000	good	81.27267456	135	1400.00000000	1.63732534		6540		0	
184	1449.40000000	31.50000000	mua	116.55667114	137	1420.00000000	3.02955260		12101		0	
185	967.50000000	100.00000000	good	85.74618530	149	1540.00000000	0.01877667		75		0	
186	1337.10000000	0.00000000	mua	108.59841919	140	1440.00000000	0.11291036		451		0	
187	776.70000000	0.70000000	good	86.23255920	139	1440.00000000	36.31657711	mua	145060		0	
188	1700.60000000	235.30000000	mua	129.68121338	141	1460.00000000	0.10189471		407		0	
189	1084.80000000	0.00000000	mua	89.95371246	141	1460.00000000	0.01076529		43		0	
190	763.70000000	100.00000000	good	68.16783142	142	1460.00000000	0.00650924		26		0	
191	1116.90000000	100.00000000	mua	98.19246674	146	1500.00000000	0.00525747		21		0	
193	1264.70000000	0.00000000	mua	106.71212769	134	1380.00000000	0.02228164		89		0	
195	1443.90000000	0.00000000	mua	119.83206940	147	1520.00000000	0.05132289		205		0	
197	1543.10000000	0.00000000	mua	130.22512817	144	1480.00000000	0.02403413		96		0	
198	800.20000000	0.00000000	good	74.75617981	145	1500.00000000	0.50697000		2025		0	
199	1391.50000000	0.00000000	mua	110.83419800	143	1480.00000000	0.04731720		189		0	
200	2052.30000000	2.10000000	good	122.84542084	144	1480.00000000	31.83571335	mua	127162		0	
201	1196.70000000	4.70000000	good	111.31717682	145	1500.00000000	40.86128153	mua	163213		0	
203	1457.00000000	0.00000000	mua	125.65973663	143	1480.00000000	0.00951351		38		0	
204	1703.50000000	116.80000000	mua	128.66743469	149	1540.00000000	0.57832134		2310		0	
205	898.80000000	0.00000000	good	86.23978424	147	1520.00000000	0.39230716		1567		0	
206	1662.40000000	249.90000000	mua	110.49493408	150	1560.00000000	1.19770098		4784		0	
207	913.80000000	100.00000000	mua	76.75640869	154	1600.00000000	0.01226742		49		0	
208	1553.30000000	0.00000000	mua	132.73620605	149	1540.00000000	0.00550782		22		0	
209	3814.40000000	72.00000000	mua	151.78527832	149	1540.00000000	1.59676774		6378		0	
211	3886.30000000	74.70000000	mua	180.61404419	149	1540.00000000	2.63949864		10543		0	
212	2615.50000000	8.80000000	good	175.22195435	150	1560.00000000	11.25999153	mua	44976		0	
214	1171.40000000	0.00000000	mua	100.56501007	151	1560.00000000	0.03730298		149		0	
216	1677.50000000	0.00000000	good	141.46595764	157	1620.00000000	1.20821592		4826		0	
219	1588.50000000	0.00000000	mua	127.12681580	153	1580.00000000	0.06984920		279		0	
220	2120.40000000	0.00000000	mua	173.80332947	153	1580.00000000	0.01026458		41		0	
221	2193.60000000	0.00000000	mua	180.69824219	153	1580.00000000	0.11541391		461		0	
222	1669.50000000	0.00000000	mua	144.10678101	153	1580.00000000	0.05232431		209		0	
223	1551.40000000	0.10000000	good	112.07305145	154	1600.00000000	2.51782584		10057		0	
224	1791.50000000	63.40000000	mua	157.78257751	155	1600.00000000	2.25770641		9018		0	
225	1680.10000000	0.00000000	mua	143.32913208	155	1600.00000000	0.04932004		197		0	
226	1030.70000000	0.00000000	mua	87.34727478	161	1660.00000000	0.02102987		84		0	
227	2101.00000000	17.70000000	mua	115.99234772	157	1620.00000000	0.88075085		3518		0	
228	1579.10000000	58.80000000	mua	109.41752625	162	1680.00000000	0.25986907		1038		0	
229	1300.00000000	87.80000000	mua	105.86877441	162	1680.00000000	0.26687902		1066		0	
230	1996.30000000	28.10000000	mua	119.55732727	158	1640.00000000	1.06451183		4252		0	
231	1452.30000000	322.80000000	mua	100.62841034	160	1660.00000000	7.90522707	mua	31576		0	
232	1795.40000000	0.00000000	good	179.98576355	161	1660.00000000	0.18150778		725		0	
233	1481.40000000	181.30000000	mua	120.33290863	161	1660.00000000	1.01193716		4042		0	
234	371.00000000	533.30000000	mua	30.95328140	166	1720.00000000	0.07185204		287		0	
235	1460.20000000	0.00000000	mua	125.49525452	162	1680.00000000	0.00575818		23		0	
236	2413.80000000	153.10000000	mua	187.28582764	163	1680.00000000	1.27430979		5090		0	
237	1268.50000000	100.00000000	good	123.55139160	163	1680.00000000	0.00600853		24		0	
238	1682.70000000	17.40000000	mua	123.61305237	164	1700.00000000	11.94771825	mua	47723		0	
239	1213.30000000	585.00000000	mua	85.14993286	165	1700.00000000	0.03379800		135		0	
240	2436.50000000	419.00000000	mua	168.81803894	165	1700.00000000	0.23082782		922		0	
241	1884.80000000	0.00000000	mua	166.66244507	165	1700.00000000	0.02904124		116		0	
242	1918.80000000	100.00000000	mua	164.04391479	165	1700.00000000	0.00650924		26		0	
243	1867.00000000	100.00000000	good	172.32931519	165	1700.00000000	0.00075107		3		0	
244	1780.10000000	100.00000000	good	163.71777344	165	1700.00000000	0.01902702		76		0	
245	1697.70000000	32.00000000	mua	145.92895508	166	1720.00000000	1.98857419		7943		0	
246	1030.50000000	0.00000000	mua	87.19363403	166	1720.00000000	0.01702418		68		0	
247	1218.50000000	800.00000000	mua	96.49003601	169	1740.00000000	0.01351920		54		0	
248	401.90000000	0.00000000	good	46.04400635	174	1800.00000000	1.37420165		5489		0	
249	1274.40000000	0.00000000	good	119.00151062	171	1760.00000000	0.34073391		1361		0	
250	1385.20000000	0.00000000	mua	123.42330933	168	1740.00000000	0.02728876		109		0	
251	708.70000000	240.00000000	mua	55.87564850	168	1740.00000000	0.03129444		125		0	
252	919.80000000	11.30000000	mua	75.33576965	170	1760.00000000	7.03524151	mua	28101		0	
253	1734.20000000	0.20000000	good	95.74786377	172	1780.00000000	46.83126015	good	187059	pNuc	0	y
255	737.30000000	0.00000000	mua	61.21554184	171	1760.00000000	0.01251778		50		0	
